SECRETARIAT,PARTICIPATING MEMBERS,OBSERVING MEMBERS
Germany,Algeria(IANOR),Argentina(IRAM)
Germany,Austria(ASI),Australia(SA)
Germany,Bahrain(BSMD),Barbados(BNSI)
Germany,Belgium(NBN),Bosnia and Herzegovina(ISBIH)
Germany,Brazil(ABNT),Botswana(BOBS)
Germany,Canada(SCC),Bulgaria(BDS)
Germany,China(SAC),Chile(INN)
Germany,Colombia(ICONTEC),Côte d'Ivoire(CODINORM)
Germany,France(AFNOR),Croatia(HZN)
Germany,Germany(DIN),Cuba(NC)
Germany,Hungary(MSZT),Czech Republic(UNMZ)
Germany,India(BIS),Denmark(DS)
Germany,Italy(UNI),Finland(SFS)
Germany,Japan(JISC),Greece(NQIS ELOT)
Germany,Kazakhstan(KAZMEMST),Hong Kong Special Administrative Region of China(ITCHKSAR)
Germany,Kenya(KEBS),Iceland(IST)
Germany,"Korea, Republic of(KATS)",Indonesia(BSN)
Germany,Malaysia(DSM),"Iran, Islamic Republic of(ISIRI)"
Germany,Mongolia(MASM),Ireland(NSAI)
Germany,Netherlands(NEN),"Korea, Democratic People's Republic of(CSK)"
Germany,Philippines(BPS),Lebanon(LIBNOR)
Germany,Poland(PKN),Malta(MCCAA)
Germany,Portugal(IPQ),"Moldova, Republic of(ISM)"
Germany,Russian Federation(GOST R),Montenegro(ISME)
Germany,Saudi Arabia(SASO),Morocco(IMANOR)
Germany,Spain(UNE),New Zealand(NZSO)
Germany,Sweden(SIS),Norway(SN)
Germany,Turkey(TSE),Romania(ASRO)
Germany,United Arab Emirates(ESMA),Saint Lucia(SLBS)
Germany,United Kingdom(BSI),Serbia(ISS)
Germany,United States(ANSI),Seychelles(SBS)
Germany,,Singapore(SSC)
Germany,,Slovakia(UNMS SR)
Germany,,Slovenia(SIST)
Germany,,South Africa(SABS)
Germany,,Sri Lanka(SLSI)
Germany,,Switzerland(SNV)
Germany,,"Tanzania, United Republic of(TBS)"
Germany,,Thailand(TISI)
Germany,,Trinidad and Tobago(TTBS)
Germany,,Tunisia(INNORPI)
Germany,,Ukraine(DSTU)
Germany,,Viet Nam(STAMEQ)
Germany,,Zimbabwe(SAZ)
